"Status","Suburb","Place","Date","Arrival.Time","Departure.Time","table","type","lat","lon"
"","Fyshwick","Central Food Court, Canberra Outlet Centre","Sunday 8 August 2021","1:30pm","2:30pm","Casual Contacts","Casual Contacts ",-35.2802271,149.1332559
"","Fyshwick","Boost Juice, Canberra Outlet Centre, 377 Canberra Avenue","Sunday 8 August 2021","1:35pm","2:05pm","Casual Contacts","Casual Contacts ",-35.337263,149.1776894
"","Amaroo","Coles Amaroo, Horse Park Drive","Sunday 8 August 2021","4:00pm","4:20pm","Casual Contacts","Casual Contacts ",-35.1646128,149.1317816
"","Nicholls","Holy Spirit Catholic Primary School, 26 Kelleway Avenue(including Early Childhood Learning Centre)FAQs for schools","Monday 9 August 2021","8:25am","5:00pm","Casual Contacts","Casual Contacts ",-35.180284,149.1011436
"","Dickson","Woolworths Dickson, Dickson Place","Monday 9 August 2021","3:00pm","4:00pm","Casual Contacts","Casual Contacts ",-35.249974,149.1386251
"","Dickson","KFC Dickson, Bradham Street and Wooley Streets Dickson","Monday 9 August 2021","3:00pm","4:00pm","Casual Contacts","Casual Contacts ",-35.2495219,149.1375976
"","Fyshwick","St George Bank, 58 Wollongong Street","Monday 9 August 2021","10:35am","11:00am","Casual Contacts","Casual Contacts ",-35.3249107,149.1798216
"","Fyshwick","Stockade Training Centre, 7 Kembla Street","Monday 9 August 2021","3:45pm","5:30pm","Casual Contacts","Casual Contacts ",-35.325788,149.1779729
"","Nicholls","Holy Spirit Catholic Primary School, 26 Kelleway Avenue(including Early Childhood Learning Centre)FAQs for schools","Tuesday 10 August 2021","8:00am","3:10pm","Casual Contacts","Casual Contacts ",-35.180284,149.1011436
"","Canberra City","Civic Square Post Office, Shop G14-16, Canberra Centre 148 Bunda Street","Tuesday 10 August 2021","9:30am","9:50am","Casual Contacts","Casual Contacts ",-35.2805531,149.1338806
"","Gungahlin","Kmart Gungahlin, 33 Hibberson Street","Tuesday 10 August 2021","3:00pm","4:00pm","Casual Contacts","Casual Contacts ",-35.1848509,149.1331888
"","Gungahlin","Big W Gungahlin, Gozzard Street","Tuesday 10 August 2021","3:45pm","4:30pm","Casual Contacts","Casual Contacts ",-35.1858957,149.1336469
"","Casey","Supabarn, 15 Kingsland Parade","Tuesday 10 August 2021","4:00pm","4:10pm","Casual Contacts","Casual Contacts ",-35.1741413,149.0960254
