"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon"
"","Coles Supermarket Manuka","Franklin Street &, Flinders Way","Griffith","11/08/2021 - Wednesday","6:00pm","6:45pm","Casual",-35.3210061509229,149.134218999113
"","Woolworths Charnwood","25-30 Charnwood Place","Charnwood","11/08/2021 - Wednesday","6:30pm","7:10pm","Casual",-35.2045282559848,149.03285263925
"","Southern Cross Basketball Club Stadium","7 Pitman Street","Greenway","11/08/2021 - Wednesday","8:30pm","10:00pm","Casual",-35.4155018769429,149.063424055757
"","Xian Restaurant,","1/140 Emu Bank","Belconnen","11/08/2021 - Wednesday","9:15pm","9:45pm","Casual",-35.2360899551496,149.069611471688
"","Abode Hotel (Floors 1, 2 and 3)","14 Kennedy Street","Kingston","12/08/2021 - Thursday","12:00am","7:00pm","Casual",-35.3171206867434,149.141064716004
"","EQ Bakehouse","70 Kent Street","Deakin","12/08/2021 - Thursday","7:00am","10:00am","Casual",-35.3204826515495,149.097398126476
"","TLE Electrical & Data supplies","22-36 Oatley Court","Belconnen","12/08/2021 - Thursday","7:30am","8:15am","Casual",-35.241665427361,149.057643031148
"","Coles Express Belconnen (Petrol Station)","Lathlain Street and Wignall Place","Belconnen","12/08/2021 - Thursday","7:50am","8:10am","Casual",-35.2426660161264,149.063992379368
"","McDonalds","Cnr Charnwood Place & Lhotsky Place","Charnwood","12/08/2021 - Thursday","8:00am","8:45am","Casual",-35.2059456160244,149.034254272474
"","Holy Sprit Catholic Primary School (including Early Childhood Learning Centre)","26 Kelleway Avenue","Nicholls","12/08/2021 - Thursday","8:00am","3:10pm","Casual",-35.1802868932492,149.101162728899
"","Big W","Gozzard Street","Gungahlin","12/08/2021 - Thursday","2:40pm","3:00pm","Casual",-35.1858822243373,149.133648656444
"","St George Bank Gungahlin","30 Hibberson Street","Gungahlin","12/08/2021 - Thursday","2:40pm","3:10pm","Casual",-35.1855798102476,149.134142309409
"","IGA Lyneham","1 Wattle Place","Lyneham","12/08/2021 - Thursday","3:00pm","3:45pm","Casual",-35.2520696474032,149.124858469373
"","Commonwealth Bank Gungahlin","33 Hibberson Street, Shop 23, 25 Gungahlin Mall","Gungahlin","12/08/2021 - Thursday","3:00pm","3:20pm","Casual",-35.1853205577308,149.134689181508
"","Services Australia","5 Fussell Lane","Gungahlin","12/08/2021 - Thursday","3:10pm","3:30pm","Casual",-35.1838010288218,149.135368300535
"","Vodafone","18 Hibberson Street","Gungahlin","12/08/2021 - Thursday","3:20pm","3:45pm","Casual",-35.1859792489864,149.135801387486
"","Reject Shop, Gungahlin Village","Corner Hibberson Street and Gungahlin Place - Shop 2, 46 Hibberson Street","Gungahlin","12/08/2021 - Thursday","3:45pm","4:10pm","Casual",-35.186385142962,149.135986320132
"","Beyond Pharmacy","4/18 Lonsdale Street","Braddon","12/08/2021 - Thursday","3:45pm","4:00pm","Casual",-35.2736545577557,149.13295082433
"","7-Eleven Braddon","20 Mort Street","Braddon","12/08/2021 - Thursday","3:45pm","4:00pm","Casual",-35.2757109957273,149.131673335392
"","Mr Sushi","Gungahlin Village","Gungahlin","12/08/2021 - Thursday","4:00pm","4:15pm","Casual",-35.1847957979993,149.134456666303
"","ALDI","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","8:45am","9:20am","Casual",-35.2383078017715,149.063792064088
"","Woolworths","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","9:05am","9:45am","Casual",-35.2386689991646,149.065259658311
"","O’Connor Capital Chemist","9 Sargood Street","O’Connor","13/08/2021 - Friday","9:35am","10:00am","Casual",-35.263903520298,149.122595531722
"","Kopiku","1/5 Sargood Street","O’Connor","13/08/2021 - Friday","9:45am","10:15am","Casual",-35.2640764244327,149.122421632275
"","Coles","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","9:35am","10:00am","Casual",-35.2379381914321,149.064843406568
"","Westfield Post Office","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","9:50am","10:15am","Casual",-35.238729494592,149.066119698891
"","Coles Amaroo","Horse Park Drive","Amaroo","13/08/2021 - Friday","11:30am","1:00pm","Casual",-35.1645965395121,149.131762960411
"","IGA Evatt","Heydon Place","Evatt","13/08/2021 - Friday","11:45am","8:15pm","Casual",-35.209091185539,149.073808974637
"","Costco Majura Park","39-41 Mustang Avenue","Majura Park","13/08/2021 - Friday","12:00pm","1:00pm","Casual",-35.2972402190222,149.190589400033
"","Liquorland Amaroo","Horse Park Drive","Amaroo","13/08/2021 - Friday","12:00pm","12:30pm","Casual",-35.1647403328254,149.13206005333
"","Woolworths","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","1:45pm","2:10pm","Casual",-35.2386469259068,149.065282693182
"","ALDI","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","2:00pm","2:25pm","Casual",-35.2383148841883,149.063793152871
"","Coles","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","2:15pm","2:45pm","Casual",-35.2379564741755,149.064830697199
"","Elite Supplements","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","2:30pm","2:45pm","Casual",-35.2383910134404,149.064983863183
"","Crust Pizza","28 Mort Street","Braddon","13/08/2021 - Friday","5:30pm","5:45pm","Casual",-35.2746110138407,149.131470994029
"","ALDI Weston Creek","Cooleman Court Shopping Centre, Brierly Street","Weston","13/08/2021 - Friday","6:00pm","6:30pm","Casual",-35.341449652542,149.052598492613
"","Woolworths Weston Creek","Cooleman Court Shopping Centre, Brierly Street","Weston","13/08/2021 - Friday","6:20pm","7:00pm","Casual",-35.341253200234,149.052630620385
