"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","type","lat","lon"
"Updated","Ampol Fuel","289 Canberra Avenue","Fyshwick","11/08/2021 - Wednesday","1:10pm","1:30pm","Casual","Casual Updated",-35.334177,149.1699433
"","Woolworths Dickson","1 Dickson Place","Dickson","11/08/2021 - Wednesday","3:00pm","3:30pm","Casual","Casual ",-35.249974,149.1386251
"New","Coles Supermarket Manuka","Franklin Street &, Flinders Way","Griffith","11/08/2021 - Wednesday","6:00pm","6:45pm","Casual","Casual New",-35.32102,149.1342
"","Woolworths Charnwood","25-30 Charnwood Place","Charnwood","11/08/2021 - Wednesday","6:30pm","7:10pm","Casual","Casual ",-35.2045295,149.0328578
"","Southern Cross Basketball Club Stadium","7 Pitman Street","Greenway","11/08/2021 - Wednesday","8:30pm","10:00pm","Casual","Casual ",-35.4155197,149.0634307
"New","Xian Restaurant,","1/140 Emu Bank","Belconnen","11/08/2021 - Wednesday","9:15pm","9:45pm","Casual","Casual New",-35.2398237,149.0748244
"","Abode Hotel (Floors 1, 2 and 3)","14 Kennedy Street","Kingston","12/08/2021 - Thursday","12:00am","7:00pm","Casual","Casual ",-35.31713,149.14108
"","EQ Bakehouse","70 Kent Street","Deakin","12/08/2021 - Thursday","7:00am","10:00am","Casual","Casual ",-35.3204751,149.0973981
"","TLE Electrical & Data supplies","22-36 Oatley Court","Belconnen","12/08/2021 - Thursday","7:30am","8:15am","Casual","Casual ",-35.241658,149.0576423
"","Coles Express Belconnen (Petrol Station)","Lathlain Street and Wignall Place","Belconnen","12/08/2021 - Thursday","7:50am","8:10am","Casual","Casual ",-35.242649,149.063986
"New","McDonalds","Cnr Charnwood Place & Lhotsky Place","Charnwood","12/08/2021 - Thursday","8:00am","8:45am","Casual","Casual New",-35.2059467,149.0342738
"","Holy Sprit Catholic Primary School (including Early Childhood Learning Centre)","26 Kelleway Avenue","Nicholls","12/08/2021 - Thursday","8:00am","3:10pm","Casual","Casual ",-35.180284,149.1011436
"","Big W","Gozzard Street","Gungahlin","12/08/2021 - Thursday","2:40pm","3:00pm","Casual","Casual ",-35.1858957,149.1336469
"","St George Bank Gungahlin","30 Hibberson Street","Gungahlin","12/08/2021 - Thursday","2:40pm","3:10pm","Casual","Casual ",-35.1855895,149.1341257
"New","IGA Lyneham","1 Wattle Place","Lyneham","12/08/2021 - Thursday","3:00pm","3:45pm","Casual","Casual New",-35.2520717,149.1248594
"","Commonwealth Bank Gungahlin","33 Hibberson Street, Shop 23, 25 Gungahlin Mall","Gungahlin","12/08/2021 - Thursday","3:00pm","3:20pm","Casual","Casual ",-35.1853356,149.1346788
"","Services Australia","5 Fussell Lane","Gungahlin","12/08/2021 - Thursday","3:10pm","3:30pm","Casual","Casual ",-35.1837955,149.1353828
"","Vodafone","18 Hibberson Street","Gungahlin","12/08/2021 - Thursday","3:20pm","3:45pm","Casual","Casual ",-35.1859633,149.1357952
"","Reject Shop, Gungahlin Village","Corner Hibberson Street and Gungahlin Place - Shop 2, 46 Hibberson Street","Gungahlin","12/08/2021 - Thursday","3:45pm","4:10pm","Casual","Casual ",-35.1863723,149.1359758
"","Beyond Pharmacy","4/18 Lonsdale Street","Braddon","12/08/2021 - Thursday","3:45pm","4:00pm","Casual","Casual ",-35.2736557,149.132945
"","7-Eleven Braddon","20 Mort Street","Braddon","12/08/2021 - Thursday","3:45pm","4:00pm","Casual","Casual ",-35.275691,149.1316658
"","Mr Sushi","Gungahlin Village","Gungahlin","12/08/2021 - Thursday","4:00pm","4:15pm","Casual","Casual ",-35.1848056,149.1344577
"","ALDI","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","8:45am","9:20am","Casual","Casual ",-35.2382964,149.0638025
"","Woolworths","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","9:05am","9:45am","Casual","Casual ",-35.2386596,149.0652762
"New","O’Connor Capital Chemist","9 Sargood Street","O’Connor","13/08/2021 - Friday","9:35am","10:00am","Casual","Casual New",-35.2639132,149.122586
"New","Kopiku","1/5 Sargood Street","O’Connor","13/08/2021 - Friday","9:45am","10:15am","Casual","Casual New",-35.2640694,149.1224283
"","Coles","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","9:35am","10:00am","Casual","Casual ",-35.237949,149.064837
"","Westfield Post Office","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","9:50am","10:15am","Casual","Casual ",-35.238743,149.0661145
"","Coles Amaroo","Horse Park Drive","Amaroo","13/08/2021 - Friday","11:30am","1:00pm","Casual","Casual ",-35.1646128,149.1317816
"New","IGA Evatt","Heydon Place","Evatt","13/08/2021 - Friday","11:45am","8:15pm","Casual","Casual New",-35.2090949,149.0737921
"","Costco Majura Park","39-41 Mustang Avenue","Majura Park","13/08/2021 - Friday","12 noon","1:00pm","Casual","Casual ",-35.2972375,149.1905839
"","Liquorland Amaroo","Horse Park Drive","Amaroo","13/08/2021 - Friday","12 noon","12:30pm","Casual","Casual ",-35.1647474,149.1320463
"","Woolworths","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","1:45pm","2:10pm","Casual","Casual ",-35.2386596,149.0652762
"","ALDI","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","2:00pm","2:25pm","Casual","Casual ",-35.2382964,149.0638025
"","Coles","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","2:15pm","2:45pm","Casual","Casual ",-35.237949,149.064837
"","Elite Supplements","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","2:30pm","2:45pm","Casual","Casual ",-35.2383723,149.0649988
"","Crust Pizza","28 Mort Street","Braddon","13/08/2021 - Friday","5:30pm","5:45pm","Casual","Casual ",-35.2746249,149.1314767
